Match Number,Round Number,Date,Location,Home Team Code,Away Team Code,Home Team,Away Team,Group,home goals,away goals,home yellow cards,away yellow cards
1,1,20/11/2022 16:00,Al Bayt Stadium,QAT,ECU,Qatar,Ecuador,Group A,,,,
3,1,21/11/2022 13:00,Khalifa International Stadium,ENG,IRN,England,Iran,Group B,,,,
2,1,21/11/2022 16:00,Al Thumama Stadium,SEN,NED,Senegal,Netherlands,Group A,,,,
4,1,21/11/2022 19:00,Ahmad Bin Ali Stadium,USA,WAL,USA,Wales,Group B,,,,
8,1,22/11/2022 10:00,Lusail Stadium,ARG,KSA,Argentina,Saudi Arabia,Group C,,,,
6,1,22/11/2022 13:00,Education City Stadium,DEN,TUN,Denmark,Tunisia,Group D,,,,
7,1,22/11/2022 16:00,Stadium 974,MEX,POL,Mexico,Poland,Group C,,,,
5,1,22/11/2022 19:00,Al Janoub Stadium,FRA,AUS,France,Australia,Group D,,,,
12,1,23/11/2022 10:00,Al Bayt Stadium,MAR,CRO,Morocco,Croatia,Group F,,,,
11,1,23/11/2022 13:00,Khalifa International Stadium,GER,JPN,Germany,Japan,Group E,,,,
10,1,23/11/2022 16:00,Al Thumama Stadium,ESP,CRC,Spain,Costa Rica,Group E,,,,
9,1,23/11/2022 19:00,Ahmad Bin Ali Stadium,BEL,CAN,Belgium,Canada,Group F,,,,
13,1,24/11/2022 10:00,Al Janoub Stadium,SUI,CMR,Switzerland,Cameroon,Group G,,,,
14,1,24/11/2022 13:00,Education City Stadium,URU,KOR,Uruguay,Korea Republic,Group H,,,,
15,1,24/11/2022 16:00,Stadium 974,POR,GHA,Portugal,Ghana,Group H,,,,
16,1,24/11/2022 19:00,Lusail Stadium,BRA,SRB,Brazil,Serbia,Group G,,,,
17,2,25/11/2022 10:00,Ahmad Bin Ali Stadium,WAL,IRN,Wales,Iran,Group B,,,,
18,2,25/11/2022 13:00,Al Thumama Stadium,QAT,SEN,Qatar,Senegal,Group A,,,,
19,2,25/11/2022 16:00,Khalifa International Stadium,NED,ECU,Netherlands,Ecuador,Group A,,,,
20,2,25/11/2022 19:00,Al Bayt Stadium,ENG,USA,England,USA,Group B,,,,
21,2,26/11/2022 10:00,Al Janoub Stadium,TUN,AUS,Tunisia,Australia,Group D,,,,
22,2,26/11/2022 13:00,Education City Stadium,POL,KSA,Poland,Saudi Arabia,Group C,,,,
23,2,26/11/2022 16:00,Stadium 974,FRA,DEN,France,Denmark,Group D,,,,
24,2,26/11/2022 19:00,Lusail Stadium,ARG,MEX,Argentina,Mexico,Group C,,,,
25,2,27/11/2022 10:00,Ahmad Bin Ali Stadium,JPN,CRC,Japan,Costa Rica,Group E,,,,
26,2,27/11/2022 13:00,Al Thumama Stadium,BEL,MAR,Belgium,Morocco,Group F,,,,
27,2,27/11/2022 16:00,Khalifa International Stadium,CRO,CAN,Croatia,Canada,Group F,,,,
28,2,27/11/2022 19:00,Al Bayt Stadium,ESP,GER,Spain,Germany,Group E,,,,
29,2,28/11/2022 10:00,Al Janoub Stadium,CMR,SRB,Cameroon,Serbia,Group G,,,,
30,2,28/11/2022 13:00,Education City Stadium,KOR,GHA,Korea Republic,Ghana,Group H,,,,
31,2,28/11/2022 16:00,Stadium 974,BRA,SUI,Brazil,Switzerland,Group G,,,,
32,2,28/11/2022 19:00,Lusail Stadium,POR,URU,Portugal,Uruguay,Group H,,,,
35,3,29/11/2022 15:00,Khalifa International Stadium,ECU,SEN,Ecuador,Senegal,Group A,,,,
36,3,29/11/2022 15:00,Al Bayt Stadium,NED,QAT,Netherlands,Qatar,Group A,,,,
33,3,29/11/2022 19:00,Ahmad Bin Ali Stadium,WAL,ENG,Wales,England,Group B,,,,
34,3,29/11/2022 19:00,Al Thumama Stadium,IRN,USA,Iran,USA,Group B,,,,
37,3,30/11/2022 15:00,Al Janoub Stadium,AUS,DEN,Australia,Denmark,Group D,,,,
38,3,30/11/2022 15:00,Education City Stadium,TUN,FRA,Tunisia,France,Group D,,,,
39,3,30/11/2022 19:00,Stadium 974,POL,ARG,Poland,Argentina,Group C,,,,
40,3,30/11/2022 19:00,Lusail Stadium,KSA,MEX,Saudi Arabia,Mexico,Group C,,,,
41,3,01/12/2022 15:00,Ahmad Bin Ali Stadium,CRO,BEL,Croatia,Belgium,Group F,,,,
42,3,01/12/2022 15:00,Al Thumama Stadium,CAN,MAR,Canada,Morocco,Group F,,,,
43,3,01/12/2022 19:00,Khalifa International Stadium,JPN,ESP,Japan,Spain,Group E,,,,
44,3,01/12/2022 19:00,Al Bayt Stadium,CRC,GER,Costa Rica,Germany,Group E,,,,
45,3,02/12/2022 15:00,Al Janoub Stadium,GHA,URU,Ghana,Uruguay,Group H,,,,
46,3,02/12/2022 15:00,Education City Stadium,KOR,POR,Korea Republic,Portugal,Group H,,,,
47,3,02/12/2022 19:00,Stadium 974,SRB,SUI,Serbia,Switzerland,Group G,,,,
48,3,02/12/2022 19:00,Lusail Stadium,CMR,BRA,Cameroon,Brazil,Group G,,,,
49,Round of 16,03/12/2022 15:00,Khalifa International Stadium,,,1A,2B,,,,,
50,Round of 16,03/12/2022 19:00,Ahmad Bin Ali Stadium,,,1C,2D,,,,,
52,Round of 16,04/12/2022 15:00,Al Thumama Stadium,,,1D,2C,,,,,
51,Round of 16,04/12/2022 19:00,Al Bayt Stadium,,,1B,2A,,,,,
53,Round of 16,05/12/2022 15:00,Al Janoub Stadium,,,1E,2F,,,,,
54,Round of 16,05/12/2022 19:00,Stadium 974,,,1G,2H,,,,,
55,Round of 16,06/12/2022 15:00,Education City Stadium,,,1F,2E,,,,,
56,Round of 16,06/12/2022 19:00,Lusail Stadium,,,1H,2G,,,,,
58,Quarter Finals,09/12/2022 15:00,Education City Stadium,,,,,,,,,
57,Quarter Finals,09/12/2022 19:00,Lusail Stadium,,,,,,,,,
60,Quarter Finals,10/12/2022 15:00,Al Thumama Stadium,,,,,,,,,
59,Quarter Finals,10/12/2022 19:00,Al Bayt Stadium,,,,,,,,,
61,Semi Finals,13/12/2022 19:00,Lusail Stadium,,,,,,,,,
62,Semi Finals,14/12/2022 19:00,Al Bayt Stadium,,,,,,,,,
63,Finals,17/12/2022 15:00,Khalifa International Stadium,,,,,,,,,
64,Finals,18/12/2022 15:00,Lusail Stadium,,,,,,,,,